Temperature,PM2.5,PM10,SO2,CO,status
29.8,5.2,17.9,9.2,1.72,1
28.3,2.3,12.2,9.7,1.64,1
23.1,26.7,33.8,12.6,1.63,1
27.1,6.1,6.3,5.3,1.15,1
26.5,6.9,16.0,5.6,1.01,1
39.4,14.6,35.5,17.9,1.82,0
41.7,1.7,15.8,12.7,1.8,0
31.0,5.0,16.8,13.6,1.38,1
29.4,10.3,22.7,11.8,2.03,0
33.2,11.1,24.4,15.3,1.69,0
26.3,1.3,5.5,5.9,0.85,1
32.5,1.6,10.5,19.3,1.53,1
20.0,3.7,12.9,6.6,1.09,1
28.6,28.9,34.0,4.5,1.02,1
22.3,4.5,12.0,6.3,1.18,1
32.0,22.4,29.9,11.8,1.48,1
22.9,4.5,10.4,3.7,0.96,1
37.6,28.1,56.6,13.7,1.85,0
34.7,9.0,15.7,7.1,1.52,1
37.8,0.6,24.6,11.7,1.13,0
27.6,3.5,14.4,9.4,0.97,1
27.6,3.8,10.9,1.7,1.04,1
25.6,0.4,-0.2,4.5,0.98,1
24.6,8.3,15.4,4.6,1.03,1
26.2,0.5,2.0,2.3,0.94,1
22.6,16.4,21.3,4.8,0.93,1
30.0,2.0,3.9,5.2,1.09,1
37.6,10.1,16.6,6.3,1.85,0
29.6,3.4,9.3,2.9,1.03,1
52.5,67.5,91.2,34.6,2.31,0
44.7,34.6,57.3,22.6,1.78,0
23.3,24.0,29.0,5.3,0.96,1
35.4,20.5,33.2,11.7,1.85,0
29.7,84.4,94.4,19.8,1.55,0
21.8,7.1,16.8,6.0,0.91,1
27.7,83.3,93.5,6.8,1.71,1
27.5,30.2,34.1,3.0,0.98,1
28.0,18.5,25.0,6.1,1.32,1
22.2,2.3,8.4,3.7,0.96,1
33.3,55.1,72.7,30.7,2.12,0
37.5,3.1,2.2,29.2,2.61,0
30.9,48.3,67.1,23.3,1.75,0
39.3,68.9,85.2,13.0,1.7,0
24.7,17.3,37.0,14.9,1.48,0
27.8,8.7,13.2,15.8,1.4,1
17.4,2.6,6.9,3.5,0.92,1
18.1,3.1,8.1,5.8,1.18,1
25.6,1.1,5.2,6.1,0.89,1
22.4,2.2,8.4,3.0,0.92,1
25.3,70.7,84.8,8.2,1.59,1
42.1,12.1,35.3,30.4,2.67,0
27.5,2.8,10.1,4.1,0.82,1
32.6,4.1,19.3,14.5,1.45,1
46.1,144.0,169.8,16.1,2.3,0
33.5,23.4,56.5,27.2,1.95,0
48.1,4.2,19.0,6.0,1.57,0
